Cocktail Name,Bartender,Company,Location,Ingredients,Garnish,Glassware,OfficialRating,AgeOfBartender
Five Star Cocktail,,Five Star,Chicago,"1.5 oz King's Ginger Liqueur, .5 oz B.G. Reynolds Cinnamon syrup, .5 oz Grapefruit juice, .5 oz Lemon juice, .5 oz Luxardo Amaro Abano, 1 dash Bar Keep fennel bitters",,N/A,6,23
Daisy Mae,,Flatiron Lounge,New York,"2 oz Junipero Gin, 1 oz Lime Juice, .75 oz Green Chartreuse, .75 oz Simple Syrup",Mint Sprig,Rocks Glass,6,62
Barrel Aged Ginger Negroni,Nusan Brounstein,Fog Harbor Fish House,San Francisco,"1 part Junipero Gin, 1 part King's Ginger Liqueur, 1 part Campari, 1 part Sweet Vermouth",,N/A,7,24
The Happy Place,Elizabeth Montana,Forgery & Verso,San Francisco,"2 oz Junipero Gin, .75 oz House-made Cranberry Syrup*, .5 oz Lemon Juice, .5 oz Cranberry Juice, .25 oz Lillet Blanc, 4 dash Forgery Earth Day Bitters,  mist Laphroaig","Dehydrated Lemon Wheel, Sprig of Rosemary",N/A,6,21
Luxardo Ice Cream Float,,Gastronomista.com,,"1 oz Luxardo Cherry Syrup (from jar of cherries), 1 scoop Vanilla Ice Cream,  top Soda Water",Luxardo Cherry,,7,52
Grown-Up Shirley Temple,,Gastronomista.com,,"1 oz Luxardo Cherry Syrup (from jar of cherries), .25 oz Fresh Lemon Juice (optional), 6 oz Soda Water",Luxardo Cherry,Highball Glass,6,36
Cherry Shandy,Emily Arden Wells,Gastronomista.com,,"1.5 oz Luxardo Sangue Morlacco Cherry Liqueur, 6 oz IPA",Luxardo Cherry,N/A,5,2
Cherry Champagne Cocktail,,Gastronomista.com,,"4 oz Champagne or Prosecco, 1 oz Tart Cherry Juice, .5 oz Luxardo Maraschino Liqueur, 4 dash Mole Bitters, 1 bsp Luxardo Amaro Abano",Thyme,Coupe,7,82
Cherry Blossom Martini,,Gastronomista.com,,"2 oz Karlsson's Gold Vodka, 1 oz Dolin Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 6 dash Celery Bitters",Cherry Tree Blossom,Coupe,4,24
Cullerton Street,Julia Momose,GreenRiver,Chicago,"2 oz Barley Tea-Infused Nikka Coffey Grain Whisky*, .25 oz Verjus Blanc, .25 oz Kummel Liqueur, .75 oz Pineau des Charentes, 1 tsp Demerara Sugar Syrup","Fukujinzuke Spray, Lemon Expression",Double Rocks Glass,7,263
Long Island Limoncello Martini,,Grimaldi's Pizzeria,,"1 oz Hangar 1 Buddha's Hand Citron Vodka, 1 oz Luxardo Limoncello, .75 oz Fresh Lemon Juice, .25 oz Monin Cane Syrup",Lemon Wheel,N/A,4,5
Italian Margarita,,Grimaldi's Pizzeria,,"1.5 oz Maestro Dobel Diamante Tequila, .5 oz Luxardo Amaretto di Saschira, 1 oz Fresh Lime Juice, .25 oz Monin Cane Syrup",,N/A,5,35
Nick & Janae,David Ruiz,Harper & Rye,San Francisco,"1.5 oz H by HINE, .5 oz Luxardo Amaro Abano, .75 oz Fresh Lemon Juice, .75 oz Strawberry Syrup*, .5 oz Egg White",Black Pepper,Coupe,7,75
Goat Town Swizzle,Clint Rogers,Henri,Chicago,"1 oz Old Potrero Straight Rye Whiskey, .5 oz Luxardo Apricot Liqueur, .33 oz Luxardo Fernet, .75 oz Lemon juice, .5 oz Homemade orgeat, 4 dash Angostura bitters, 3 dash Fee Bros Orange bitters","Mint sprig, Lemon peel",Collins,6,29
Red Hook,Patrick Halloran,Henrietta Red,Nashville,"2 oz Rye Whiskey, 5 oz Punt e Mes, .5 oz Luxardo Maraschino Liqueur",,N/A,6,65
Scotch Joplin,,Hideout at Dalva,san francisco,"2 oz Ardbeg Ten, .75 oz Luxardo Aperitivo, .5 oz The Genuine Curacao Liqueur Orange, 5 dash Orange Bitters",Lemon Twist,Nick & Nora,4,32
Tea & Sympathy,Andrew Kalini,Highlands,New York,"1 oz Avua Amburana Cachaça, 1 oz King's Ginger Liqueur, .5 oz Fresh Squeezed Lemon Juice, 1 bag Chai Tea",Lemon Wheel,,9,15
The Commissioner's Trophy #3,Saul Ranella,Hog Island Oyster Co.,San Francisco,"1.5 oz No.3 London Dry Gin, 1 oz Amaro, .5 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Strawberry shrub","Orange zest, Lemon zest",Coupe,7,26
Mister Gingy,,Honeycut,Los Angeles,"1 oz King's Ginger Liqueur, 1 oz Glenrothes Vintage Reserve, .75 oz Pineapple Gum, .75 oz Lemon Juice, 2 dash Angostura Bitters","Mint Sprig, Pineapple Wedge",Collins,6,23
The Chief,Ian Scalzo,Horsefeather,San Francisco,"1.5 oz Junipero Gin, .75 oz Cocchi Americano, .5 oz Salers Gentiane Aperitif, 2 drops Black Licorice-Infused Angostura Bitters, 1 drop Sea Salt Tincture",Brandied Cherries,Coupe,7,34
Chilcano (variation),Marvin Allen,Hotel Monteleone,New Orleans,"1.25 oz BarSol Primero Quebranta Pisco, .25 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice, .25 oz Agave Nectar, 3-4 drops Cranberry Bitters, 4 oz Ginger Beer",Lime Wedge,,9,35
The Kings Mule,Marvin Allen,Hotel Monteleone,New Orleans,"1 oz King's Ginger Liqueur, 3 dash Orange Bitters, 5 oz Sparkling Wine",,Champagne Flute,7,29
San Fran Soda,Devin Hardy,House of Blues Anaheim,Anaheim,"1.25 oz Hophead Vodka, .5 oz Fresh Lime Juice,  splash Soda Water,  top Steam Beer",Lemon Wedge,,8,26
Peachy Keane,Bonnie Wilson,Ida Claire,Dallas,"1.5 oz Old Forester Bourbon, .5 oz King's Ginger Liqueur, .5 oz Giffard Crème de Pêche de Vigne, .5 oz Honey syrup (local honey cut 2:1 with water), .75 oz Lemon juice, 1  Egg white, 1 dash Angostura Bitters","Dried peach, Candied ginger",Old Fashioned Glass,9,35
The Professor,Brandon Wise,Imperial,Portland,"1.5 oz Nikka Coffey Grain Whisky, .75 oz Madeira, .75 oz Dolin Dry Vermouth, .25 oz Nux Alpina Walnut Nocino Liqueur, 1 dash Angostura Bitters",Orange twist,N/A,6,42
Japonais No.3,Bruce Cole,Japonais,Chicago,"1.5 oz No.3 London Dry Gin, 1 oz King's Ginger Liqueur, 1 oz Orange juice, 1 dash Simple syrup, 2  Cucumber slices, muddled, 2  Raspberries, muddled",Candied Ginger Stick,Highball Glass,6,47
Creole Cobbler,,Jazz Kitchen,New Orleans,"1 oz Junipero Gin, 1 1/2 oz Sathenay Crème de Peche, 1/2 oz Fresh Lemon Juice,  oz 2 Dashes Orange Bitters",,Coupe,4,25
Banana's Froster,,Jazz kitchen,New Orleans,"1.5 oz Junipero Gin, 1 oz Briottet Creme de Banane, .5 oz Cream (Half & Half), 2 dash Chocolate Bitters",Fresh mint sprig,N/A,5,23
Pontchartrain Punch,,Jazz Kitchen,New Orleans,"1.25 oz Junipero Gin, .5 oz Fresh Lime Juice, .5 oz The Genuine Curacao Liqueur Blue, .25 oz Pages Elderflower Syrup",,N/A,9,45
Geaux Geaux Cup,,Jazz Kitchen ,New Orleans,"1 oz Junipero Gin, 1 oz Maurin Quina, .5 oz Fresh Lemon, .5 oz Pages Elderflower Syrup,  top Ginger Ale",Cucumber Slice,N/A,6,44
Nola '75,,Jazz Kitchen ,New Orleans,"1.25 oz Junipero Gin, .5 oz Pages Elderflower Syrup, .5 oz Fresh Lemon Juice,  oz Champagne (Sparkling Wine)",,Champagne Flute,7,24
Heard It Through The Grapevine,Jeramy Campbell,Juliet Ristorante,Austin,"1.5 oz H by HINE, .75 oz Graham's 20 Year Tawny Port, .5 oz Tempus Fugit Kina L'Aero d'Or, .33 oz Velvet Falernum, .25 oz Benedictine",Orange Zest,Nick & Nora,9,43
On the Fritz,Eric Quilty,Jupiter Olympus,San Francisco,"1.5 oz Junipero Gin, .5 oz Chateau de Montifaud Pineau des Charentes Blanc, .75 oz Lemon Verbena Cordial*, .5 oz Lemon Juice,  top Mixwell Young Ginger Ale",Lemon Verbena Leaf,N/A,9,32
Phineas Flip,Morgan Schick,Jupiter Olympus,San Francisco,"2 oz English Harbour Rum, .75 oz King's Ginger Liqueur, 1 whole Egg",,Highball Glass,4,31
Swedish Nightingale,Morgan Schick,Jupiter Olympus,San Francisco,"1.5 oz No.3 London Dry Gin, .5 oz Maurin Quina, .25 oz Pineapple Gomme Syrup, 1 bsp Peated Kola Nut Tincture, 2 dash Angostura Bitters",Lemon Peel,N/A,4,23
The Greatest Punch on Earth,Morgan Schick,Jupiter Olympus,San Francisco,"4 oz Don Cesar Pisco, 1 oz Luxardo Triplum (Triple Sec), 4 oz Apple Cider, 2 oz Oloroso Sherry, 1 oz Sherry Vinegar,   Regans' Orange Bitters,   Angostura Bitters",,N/A,4,25
Prince of Humbugs,Morgan Schick ,Jupiter Olympus ,San Francisco,"2 oz Hirsch Small Batch Reserve Bourbon, .75 oz Luxardo Bitter, .5 oz Cold Blue Bottle Coffee, .25 oz Luxardo Anisette, 2 dash Peychaud's Bitters",Orange Peel,Collins,7,29
Peter Pumpkin,John Weyrich,La Mar Cebicheria Peruana,san fransisco,"1.5 oz Junipero Gin, .5 oz Orange Liquor, 1.5 oz House-made Spiced Pumpkin Puree, .5 oz Lemon Juice, .5 oz Ginger Syrup, 1  Egg White,  top Apple Cider","Shaved Cinnamon, Nutmeg",N/A,7,277
Italian Riviera Mojito,,Land and Water Co.,Carlsbad,"1 oz Coconut Rum, .5 oz Funkin Passion Fruit Puree, .5 oz Briottet Creme de Banane, .5 oz Fresh squeezed lime, 8 leaves Mint Leaves",Mint Sprig,Collins,6,27
Andy Warhol,,Land and Water Co.,,"1.5 oz No.3 London Dry Gin, .5 oz Tempus Fugit Alessio Vermouth Bianco, 1 oz Fresh Squeezed Ruby Grapefruit, .5 oz Simple Syrup, 3 slices Cucumber, 1 fill Soda Water",Basil,Collins,5,48
Divine Aspect,,Land and Water Co.,,"1 oz No.3 London Dry Gin, 1 oz Apple-infused Wild Turkey Bourbon 101, 1 oz Luxardo Apricot Liqueur",Lemon peel,Coupe,6,26
Nectar of the Amazon,Matt Orth,LARK on the Park,Dallas,"2 oz Ypioca Cachaca Prata*, 1 oz Passion fruit juice, 1 oz Condensed milk",Macadamia nut,Highball Glass,6,25
Mother Superior,Alex Quesada,Local Edition,san fransisco,"1.5 oz Blanc Vermouth, .75 oz Lemon Juice, .5 oz Junipero Gin, .5 oz Giffard Pamplemousse, .5 oz House-made Yellow Shaw-treuse*, .5 oz Tonic, 2 dash Celery Bitters, 2 dash Coriander Tincture",Fresh Grapefruit Peel,Coupe,6,28
The Bossa Nova,Chris Lane,Lolinda,san fransisco,"2 oz Chinaco Blanco Tequila, .5 oz Lemon Juice, .5 oz Small Hand Foods Pineapple Gum Syrup, .25 oz Vanilla Syrup*, .5 oz Coconut Cream**, .5 oz Egg White",Cinnamon (Grated),Rocks Glass,4,25
Prickly Pear Margarita,Edgar & Joselino Solis,Matador,san fransisco,"2 oz Chinaco Blanco Tequila, 1 oz Lime Juice, .5 oz Prickly Pear Puree, .5 oz Agave",Mint Sprig,,7,33
Tahitian Fix,Kate Bolton,Maven,san fransisco,"2 oz BarSol Selecto Italia Pisco, .75 oz Fresh Lemon Juice, .5 oz Vanilla Agave Nectar, .5 oz Pineapple Gomme Syrup, 1.5 oz Seltzer Water",Lavendar Blossom,Collins,9,34
International Mistress,,MAVEN,san fransisco,"1.5 oz Amaro Nonino Quintessentia, .75 oz Lemon Juice, .5 oz Mezcal, .5 oz Small Hand Foods Orgeat, 2 oz Soda Water",Grapefruit Peel,Collins,4,36
Lux Japanese Lemonade,Carlo Splendorini,Michael Mina Restaurant Group,san fransisco,"1.5 oz No.3 London Dry Gin, .5 oz Jummai Ginjo Sake, .25 oz Luxardo Limoncello, .25 oz Dill Cordial, .5 oz Meyer Lemon Juice, .25 oz Yuzu Juice, .5 oz Fresh egg White",Dill,,,35
Sage & Sound,Brian Means,Michael Mina Restaurant Group,San Francisco,"1.5 oz Junipero Gin, 1 oz White Port, .75 oz Lemon Juice, .5 oz Honey Cinnamon Syrup*, 1  Whole Egg, 8  Muddled Sage Leaves",Whole Star Anise,Coupe,8,34
I'm Only Happy when it Rains,Carlo Splendorini ,Michael Mina Restaurant Group,San Francisco,"1 1/2 oz Old Potrero Straight Rye Whiskey, 3/4 oz Hirsh Pinot Noir Reduction, 1/4 oz Luxardo Sangue Morlacco Cherry Liqueur, 3/4 oz Lemon Juice ",,N/A,7,-1
King's Mule,Daniel Romero,Miles,Brooklyn,"1.5 oz Absolut Vodka, .5 oz King's Ginger Liqueur, 1 oz Fresh Lemon Juice , 1 oz Ginger-Cinnamon Syrup*, 2 dash Bar Keep Lavender Spice Bitters,  top Club Soda",Lemon Twist,Collins,,34
Happiness,Danny Louie,Mister Jiu's,San Francisco,"1.5 oz Jasmine Tea/Rice-Infused Junipero Gin*, .75 oz Leopold Bros. Sour Apple Liqueur, .75 oz Lime, .5 oz House-made Honey Syrup**, .25 oz Lo-Fi Gentian Amaro",Edible Flower,Coupe,8,26
Last Samurai,Nate Matson,Mizu Izakaya,Denver,"1 oz Vodka, 1 oz Gin, 1 oz Luxardo Maraschino Liqueur, .5 oz Cointreau",Lime Wheel,Cocktail Glass,7,32
Northern Hemisphere (Nikka 12 Edition),John deBarry,Momofuku,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, 1 oz English Harbour Rum, .75 oz The Genuine Curacao Liqueur Clear, .75 oz Lemon Juice, .75 oz Pineapple Juice, .75 oz Grenadine*",Lemon Wheel with Umbrella,N/A,9,29
Nigamono,John deBarry ,Momofuku,,"2 oz Nikka Coffey Grain Whisky, .75 oz Maurin Quina, .75 oz Luxardo Amaro Abano",Luxardo Cherries,,7,36
Fiery Clydesdale,Lucia Stucki,Mora Bar & Kitchen,United Kingdom,"1.5 oz Pusser's Blue Label Rum , .5 oz King's Ginger Liqueur, .5 oz Ginger Syrup, .25 oz Lime Juice,  top Homemade Pink Grapefruit Soda","Dehydrated Grapefruit Wheel, Fresh Root Ginger Slice",Highball Glass,6,38
Nori & Islay,Anthony Parks,Mourad,San Francisco,"1.5 oz Junipero Gin, 1.5 oz Nori-Infused Sake*, 1 dash Celery Bitters, 3 dash Islay Scotch",Picked Cucumber Ribbon,Nick & Nora,9,26
Pumpkin & Pecan,Collin Nicholas,Mourad,San Francisco,"2 oz H by HINE, .5 oz Toasted Pecan Syrup, .75 oz Lemon Juice, .5 oz Cynar, 1 bsp Spiced Pumpkin Butter, 2 dash Cinnamon Tincture",Orange Peel,N/A,9,25
Coffee & Clove,Anthony Parks,Mourad,San Francisco,"1.5 oz Nikka Coffey Grain Whisky, .75 oz Manzanilla Sherry, .75 oz Orange Liqueur, 2 dash Clove Tincture",,Nick & Nora,7,37
Rothes Roy,N/A,N/A,N/A,"2 oz Glenrothes Vintage Reserve, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 3 dash Angostura Bitters",Luxardo Cherry,N/A,5,26
Maraschino Side Car,Caterina Miltenberger,N/A,N/A,".75 oz Luxardo Maraschino Liqueur, .25 oz Dry Curacao, .5 oz Bourbon Rye, .25 oz Lemon Juice","Lemon Peel, Abbott's Aromatic Bitters",N/A,6,29
Kir Royale,N/A,N/A,N/A,"1 part Briottet Creme de Cassis, 4 part Chilled Dry Champagne",,N/A,6,35
The King's Ginger Summer Cup,N/A,N/A,N/A,"1 oz King's Ginger Liqueur, 1.5 oz Cranberry Juice, 1.5 oz Fever-Tree Lemonade","Lemon Wheel, Strawberry",N/A,6,36
The Claridge,N/A,n/a,N/A,"2.25 oz Gin, 2.25 oz Dry Vermouth, .75 oz Luxardo Apricot Liqueur, .75 oz Cointreau",N/A,N/A,7,22
3 & Tree Tonic,N/A,N/A,N/A,"1.5 oz No.3 London Dry Gin,  top Fever-Tree Tonic Water",Lime or Lemon Wedge,N/A,9,31
Margarita Ahumeada,Enrique Sanchez,N/A,N/A,"2 oz Mezcal, 1 oz Fresh squeezed lime juice, .5 oz Agave Nectar, .5 oz Luxardo Triplum (Triple Sec), 3 dash Habanero tincture",Orange peel,N/A,5,32
The King's Spring Daisy,na,na,na,"1 oz King's Ginger Liqueur, 1 oz H by HINE, .25 oz Lemon juice, .25 oz Simple syrup, 2 dash Fee Brothers Rhubard bitters",Mint sprig,na,6,38
The King's Autumn Cobbler,NA,NA,NA,"1 oz King's Ginger Liqueur, .25 oz Briottet Creme de Mure (Blackberry),  top Pear Cider","3 Lemon Wedges, 3 Blackberries",NA,6,26
The Mad King,na,na,na,"2 oz Glenrothes Vintage Reserve, 1 oz King's Ginger Liqueur, .25 oz Honey Syrup, 1 dash Angostura Bitters",Flamed Lemon Peel,Highball Glass,8,24
The Sun Also Rises,Jim Meehan,NA,NA,"2 oz Banks 5 Island Rum, .75 oz Fresh Lime Juice, .5 oz Fresh Grapefruit Juice, .5 oz Luxardo Maraschino Liqueur, 1 tsp Vieux Pontarlier Absinthe Francaise Superieure",,Coupe,9,27
Trato Hecho,Phil Ward,NA,NA,".75 oz Pineapple-Infused Mezcal*, .75 oz Green Chartreuse, .75 oz Luxardo Maraschino Liqueur, .75 oz Lime Juice",,Coupe,7,23
Cuba Liberation,NA,NA,NA,"2 oz Pink Pigeon Rum, 1.5 oz Fresh lime juice, .25 oz Simple syrup,  oz Mexican Coca Cola, 1 float Luxardo Fernet","Lime wheel, Mint sprig",NA,6,26
Citrus Agave Caipirinha,na,na,na,"1.5 oz Ypioca Brasilizar Cachaca Prata Classica, 1.5 oz Citrus Agave Blend, 1 splash Soda Water",Lime Wheel,,9,35
The King's Ginger Spiced Punch,NAN,NAN,NAN,"25 oz King's Ginger Liqueur, 37.5 oz Cranberry Juice, 37.5 oz Fever-Tree Lemonade","Lemon Wheel, Strawberry",,7,38
The Bitter King,nan,nan,nan,"2 oz King's Ginger Liqueur, .75 oz Lemon Juice, .75 oz Simple Syrup",Luxardo Cherry,Martini,8,39
Pink Pigeon Punch,nan,nan,nan,"7 oz Pink Pigeon Rum, 1 oz Agave Syrup, 7 oz Watermelon, 2  Lemon Juice,  top Ginger Beer",,Coupe,8,-1
New Beginnings,Richard Bailey,nan,Houston,".75 oz Luxardo Bitter Bianco, .75 oz Avua Cachaca Prata, .75 oz Broker's London Dry Gin, .75 oz Coconut Water, 2 dash Toasted Coconut Tincture*, 1 dash Almond Extract,  top Fever-Tree Mediterranean Tonic Water",Sliced Almonds,Collins,5,28
White Walker Flip,NAN,NAN,NAN,"1 oz Glenrothes Vintage Reserve, 1 oz King's Ginger Liqueur, .25 oz Green Chartreuse, .75 oz Sweetened Apple Cider, 2 dash Baked Apple Bitters, 1 whole Egg",King's Ginger-Infused Apple Wheels,,7,37
The Royal King,Nan,Nan,Nan,"1 oz King's Ginger Liqueur, 4 oz Champagne",,Champagne Flute,5,26
The Negroni Bianco,nan,nan,nan,"1.5 oz Luxardo Bitter Bianco, .75 oz Tempus Fugit Alessio Vermouth Bianco, 1.5 oz Junipero Gin",,nan,8,24
Chingerito,Johel Huaman Barbosa & Christian Hurtado,NEAT,Westport,"2 oz BarSol Primero Quebranta Pisco, 1.5 oz Grape juice, 1 oz BarSol Perfecto Amor (Aperitif Wine), 1 oz Fresh pomegranate juice, .75 oz Cinnamon syrup, .75 oz Fresh lime juice, 4  Grapes",,N/A,6,35
Brisa del Sur,Johel Huaman Barbosa & Christian Hurtado,NEAT,westport,"1.5 oz BarSol Selecto Italia Pisco, .5 oz Rocoto passion fruit reduction, .5 oz Fresh lime juice, .5 oz Simple syrup",Cilantro,N/A,6,25
Platonic Snuggle,Natasha David,Nitecap,,".5 oz H by HINE, .5 oz El Dorado 12 Year Old Rum, .5 oz Hamilton Black Jamaican Pot Still Rum, .5 oz Cinnamon Syrup, .5 oz Heavy Cream, 1 tsp St. Elizabeth Allspice Dram, 1 whole Egg,  top Founders Porter","Orange Twist, Grated Nutmeg",,8,19
The Boys of Summer Cup,Alex Smith,Novela,san fransisco,"1 oz No.3 London Dry Gin, 1 oz Dolin Rouge Vermouth, .5 oz The Genuine Curacao Liqueur Orange, .5 oz King's Ginger Liqueur, .25 oz Chareau Liqueur, .5 oz Fresh Lemon Juice,  top Fever-Tree Bitter Lemon","Lemon Wheel, Mint Sprig",Collins,5,27
Potrero Hill,Theo Sabatini,Novo Restaurant Lounge,San Luis Obispo,"1 oz Junipero Gin, .5 oz White Peach & Orange Chamomile Infused Sweet Vermouth, .5 oz Cinnamon Wineshine Brandy, 1 dash Simple Syrup, .5 oz Grapefruit Juice, .5 oz Lemon Juice, 4 oz Bundaberg Ginger Beer",,N/A,5,26
The Bittered Valley,Nik Virrey,NULL,Seattle,"1.25 oz Luxardo Maraschino Liqueur, 4 drops Acid phosphate, 2 oz BarSol Primero Quebranta Pisco, .75 oz Luxardo Amaro Abano, .25 oz Luxardo Fernet, 3 dash Scrappy's Aromatic Bitters",,N/A,5,34
King's Snap the Chocolate Out of You,Ian Julian,null,New Orleans,"1 oz King's Ginger Liqueur, 1.5 oz Homemade milk chocolate, .75 oz Hazelnut Cinnamon syrup,  oz Marshmallow whip cream,  oz Ginger snaps",Ginger snap crumbles,Rocks Glass,5,26
Martinez,null,null,,"1.5 oz Old Tom Gin, 1.5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Tempus Fugit Abbott's Bitters",Orange Twist,Coupe,5,38
Pisco Punch,NULL,NULL,NULL,"2 oz BarSol Selecto Italia Pisco, 2 oz Pineapple Juice, 1 oz Fresh Lime Juice, 1 oz Simple Syrup","Luxardo Cherry, Pineapple Chunks",Wine Glass,7,36
Neighborhood Negroni,Tony Abou-Ganim,null,null,"1 oz Junipero Gin, 1 oz Campari, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso",Flamed Orange Twist,Cocktail Glass,5,24
Angel's Face,Jay Zimmerman,NULL,NULL,"1 oz No.3 London Dry Gin, 1 oz Applejack, 1 oz Luxardo Apricot Liqueur",Orange Peel Slice,Cocktail Glass,5,41
Kiss,Brian Miller,null,null,"2 oz Gin, .75 oz Sweet Vermouth, .75 oz Dubonnet Rouge, .25 oz Luxardo Maraschino Liqueur",Apple Slice,Martini,7,25
The Cappa,Franky Marshall,null,null,"1.5 oz Gin, 1.5 oz Pineau des Charentes, .5 oz Luxardo Maraschino Liqueur",Lemon Peel Twist,Wine Glass,7,23
Off the Radar,NULL,NULL,NULL,"1.5 oz Junipero Gin, .5 oz Lemon Juice, .25 oz Luxardo Maraschino Liqueur, .25 oz Liqueur de Violette, 3-4 oz Tonic Water",Lemon Wheel,Collins,5,36
The Royal Buck,null,null,null,"1 oz No.3 London Dry Gin, 1 oz King's Ginger Liqueur, .75 oz Lemon juice, .5 oz Simple syrup, 2 oz Club soda","Lemon wedge, Candied ginger",Collins,9,34
Chilcano,NULL,NULL,NULL,"2 oz BarSol Selecto Acholado Pisco, .5 oz Fresh Lime Juice, 2-3 drops Angostura Bitters,  top Ginger Ale",Lime Wheel,Highball Glass,8,33
Kir,NULL,NULL,NULL,"1 part Briottet Creme de Cassis, 4 part Chilled Dry White Wine",,NULL,6,21
Fuji-La,Qwesha Byrd,NULL,Houston,".5 oz Luxardo Bitter Bianco, 1 oz Junipero Gin, 1.5 oz Apple Water*, 1 ml Citric Acid Solution**",Fuji Apple Slice ,Coupe,,-1
Beachcomber,,NULL,NULL,"1.5 oz Light Rum, .75 oz  Cointreau, .75 oz Lime Juice, .25 oz Luxardo Maraschino Liqueur, .125 oz Simple Syrup (optional)",,Cocktail Glass,,-1
Pink & Ginger,null,null,null,,null,null,8,22
Golden Gun,NULL,NULL,NULL,"1 oz Blended Lightly Aged Rum, 1 oz Blended Aged Rum, .75 oz Lime Juice, .5 oz Luxardo Apricot Liqueur, .5 oz SC Demerara Syrup*, .5 oz Grapefruit Juice, 2 dash Angostura Bitters",,Collins,,32
Roasted Cherry Colada,null,null,null,"2 oz White Rum, 1.75 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Coconut Milk, 1 oz Fresh Lime Juice, .5 tsp Demerara Sugar, 10 dash Miracle Mile Forbidden Barrel Aged Bitters, 3  Roasted Cherries, 1 oz Black Rum, 1 tsp Everclear",Roasted Cherry,,6,28
Obituary Cocktail,null,null,null,".25 oz Mansinthe Absinthe, 2 oz Genevieve Gin, .25 oz Tempus Fugit Alessio Extra Dry Vermouth",null,null,7,26
Gran Classico Negroni,null,null,null,".75 oz Tempus Fugit Gran Classico Bitter, .75 oz No.3 London Dry Gin, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso",Orange Twist,null,7,31
Paloma,null,null,null,"2 oz Chinaco Blanco Tequila, 6 oz Fresh Grapefruit Soda, .5 oz Lime Juice","Salt Rim, Grapefruit",Highball Glass,7,24
Spring Fling Sipper,Ashley Rose Conway,NULL,NULL,"1 oz Junipero Gin, .75 oz King's Ginger Liqueur, 3 oz Fresh Grapefruit Juice, .5 oz Simple Syrup, .25 oz Fresh Lemon Juice, 1 oz Soda Water","Basil Leaf, Edible Flower",NULL,7,32
#106 Cocktail,Chelsea Little,Olive & Oak,St. Louis,"1 oz Chinaco Blanco Tequila, 1 oz Luxardo Bitter Bianco, .5 oz Pear Syrup*, .5 oz Lemon Juice,  pinch Grey Sea Salt",Sage,Coupe,3,29
A Regal Air ,Amy Lewis ,One Sixty Blue,Chicago,"3 oz Domingo Perez Marin 'la Guita' Manzanilla Sherry, .5 oz King's Ginger Liqueur, .25 oz Chartreuse , .25 oz Juice of an Orange",,Martini,6,35
A.Nise,Kate KaiKaew,Osha,san fransisco,"1.5 oz Pink Pigeon Rum, .5 oz Luxardo Amaretto di Saschira, .5 oz Osha Falernum, .5 oz Lemon juice, 1 oz Pineapple juice, 3 dash Orange bitters","Star Anise, Lemongrass Slices",Rocks Glass,6,26
Bakko & Zengo,Nick Jones,Pabu,san fransisco,"1.5 oz Nikka Coffey Grain Whisky, .25 oz House-made Allspice Dram, .25 oz Heavy Cream, .25 oz Simple Syrup, 1  Whole Egg, 2 dash Chocolate Bitters",,N/A,6,32
Classic Lolita,Nick Jones,Pabu,san fransisco,"2 oz Nikka Whisky Taketsuru, .5 oz Okinawa sugar, .5 oz Soda, 2 dash Orange Bitters, 2 dash Old Fashioned Bitters",Orange Peel,,9,38
OH Snap!,Kevin Diedrich,Pacific Cocktail Haven,san fransisco,"1 oz Junipero Gin, 1 oz House-made Simple Syrup*, 1 oz Manzanilla Sherry, .75 oz Lemon Juice, 2 dash Absinthe, 6-8  Sugar Snap Peas,  top Tonic",,Collins,7,26
Nuestra Julep,David Ruiz,Padrecito,san fransisco,"1 oz High West Oat Whisky, .5 oz King's Ginger Liqueur, .5 oz Peach Shrub, .75 oz Lime, 1 dash Angostura Bitters, 1 dash Grapefruit Bitters",Basil Leaf,N/A,6,36
The Molino,,Palizzi Social Club,Philadelphia,"1.5 oz Bourbon, .5 oz Luxardo Amaretto di Saschira, .5 oz Demerara Syrup (1:1), .75 oz Lemon Juice, 1  Egg White",Luxardo Cherry,,6,38
Second City Sour,Patrick Poelvoorde,Park Tavern,San Francisco,"2 oz Hirsch Small Batch Reserve Bourbon, 1 oz Fresh Lemon Juice, .5 oz Orange-scented Maple Syrup*, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso",Lemon Twist,Collins,,35
A Southern Jackass,Julian Miller,Partender,San Francisco,"1.5 oz Prichard's Lincoln County Lightning, .5 oz King's Ginger Liqueur, .5 oz Cinnamon-Candied Ginger Syrup*, 3 dash Angostura Bitters,  top Club Soda","Lemon Wheel, Sliver of Cinnamon-Candied Ginger",Old Fashioned Glass,10,27
